1111;Leden van wetgevende lichamen;wethouder, tweede kamerlid, staatssecretaris, provinciaal statenlid, minister, gemeenteraadslid, gedeputeerde, eerste kamerlid, commissaris van de koningin, burgemeester;;;
1112;Ambtenaren in beleidvoerende functies;voorzitter adviesorgaan (overheid), sectordirecteur gemeente, secretaris (gemeente, provincie), raadadviseur, manager algemene bestuursdienst, griffier overheidsbestuur, diplomatiek vertegenwoordiger, dijkgraaf, commandant brandweer, brandweerofficier;;;
1114;Beleidvoerende medewerkers van belangenorganisaties;voorzitter product-, bedrijfsschap, voorzitter politieke partij, vakbondsbestuurder, bestuurder werkgevers-, werknemersorganisatie, bestuurder sportbond, bestuurder mensenrechtenorganisatie;;;
1120;Directeuren van grote ondernemingen;voorzitter raad van bestuur grote onderneming, president directeur grote onderneming, commissaris nv, bv, algemeen directeur;;;
1211;Leidinggevende functies op financieel gebied;manager accountantskantoor, hoofd financiele zaken, financieel manager, financieel directeur;;;
1212;Leidinggevende functies op het gebied van personeelszaken;recruitmentmanager, personeelsmanager, manager werving- en selectiebureau, manager uitzendbureau, manager loopbaanadvies-, outplacementbureau, human resources (hr) directeur, hoofd personeel en organisatie;;;
1213;Leidinggevende functies op het gebied van beleid en planning;manager strategie en ontwikkeling, manager organisatieadviesbureau, hoofd afdeling beleidszaken;;;
1219;Leidinggevende functies op het gebied van zakelijke diensten en op administratief gebied, niet elders geclassificeerd;vestigingsdirecteur makelaarskantoor, manager woondiensten, manager woningbouwvereniging, manager kamerverhuurbedrijf, manager glazenwasserij, manager autowasstraat, manager administratiekantoor, manager actuarieel adviesbureau, hoofd algemene zaken, facilitair manager;;;
1221;Leidinggevende functies op het gebied van verkoop en marketing;salesmanager, sales- en marketingmanager, marketingmanager, manager exportbedrijf, hoofd verkoop binnendienst, districtsmanager verkoop buitendienst, commercieel directeur, business development manager;;;
1222;Leidinggevende functies op het gebied van reclame en public relations;manager communicatieadviesbureau (reclame), manager adviesbureau public relations en marketing, communicatiemanager;;;
1223;Leidinggevende functies op het gebied van speur- en ontwikkelingswerk;manager medisch laboratorium, manager ingenieursbureau procestechnologie, manager afdeling ontwikkeling en research (productontwikkeling), hoofd productietechnologie, hoofd onderzoek, hoofd laboratorium;;;
